Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 1973823  Y 1581143
X 1974803  Y 1584663
X 1974853  Y 1586843
X 1974933  Y 1599203
X 1975253  Y 1593733
X 1975293  Y 1595993
X 1975313  Y 1582593
X 1975353  Y 1589413
X 1975453  Y 1591593
X 1977163  Y 1604723
X 1978003  Y 1601553
X 1979053  Y 1604723
X 1979163  Y 1587993
X 1980433  Y 1583973
X 1980623  Y 1603193
X 1981623  Y 1585723
X 1983033  Y 1597143
X 1983513  Y 1583253
X 1983653  Y 1592903
X 1985023  Y 1581823
X 1987303  Y 1592903
X 1987303  Y 1600603
X 1988253  Y 1582053
X 1990378  Y 1582053
X 1990553  Y 1589653
X 1990703  Y 1597183
X 1991338  Y 1592901
X 1991338  Y 1600602
X 1994993  Y 1592893
X 1998303  Y 1581063
X 1999903  Y 1582573
X 2001673  Y 1581293
X 2004793  Y 1581483
X 2006182  Y 1593773
X 2006299  Y 1587401
X 2006843  Y 1581013
X 2008173  Y 1582623
X 2009113  Y 1591103
X 2009212  Y 1598053
X 2010834  Y 1599976
X 2011422  Y 1597833
X 2011453  Y 1589833
X 2011878  Y 1584678
X 2013202  Y 1593073
X 2013253  Y 1595178
X 2013883  Y 1585513
X 2013903  Y 1587623
X 2013937  Y 1590118
X 2014163  Y 1581253
X 2015354  Y 1615748
X 2015354  Y 1617716
X 2014173  Y 1609055
X 2013268  Y 1613188
X 2011023  Y 1611417
X 2008661  Y 1613385
X 2005512  Y 1613385
X 2005512  Y 1617716
X 2003192  Y 1612753
X 1999661  Y 1613079
X 1997523  Y 1611473
X 1997263  Y 1608743
X 1996063  Y 1617716
X 1995992  Y 1613582
X 1992203  Y 1611403
X 1991603  Y 1613453
X 1989653  Y 1608653
X 1989653  Y 1611303
X 1989203  Y 1613303
X 1986653  Y 1613253
X 1986614  Y 1617716
X 1983464  Y 1617716
X 1981753  Y 1610203
X 1980453  Y 1611653
X 1978523  Y 1609683
X 1977165  Y 1614763
X 1975003  Y 1608178
X 1975003  Y 1610178
X 1973622  Y 1615748
X 1973622  Y 1617716

Drill: .012  Tool: 2  Feed: 0  Speed: 0
X 1984871  Y 1626514
X 1993142  Y 1626534
X 2001374  Y 1626515
X 2009622  Y 1626515
X 2017870  Y 1622460
X 2017870  Y 1637932
X 2009622  Y 1637932
X 2001374  Y 1637932
X 1993126  Y 1637932
X 1984871  Y 1637932

End of Listing
